Original Data	Log Sales	Trendless and Seasonless	Only Seasonless	Moving Avg	Global Polynomial fit	MA order 7
"1,045,646"	13.86014543	-0.0155	14.1444	14.15990173	13.67122741	14.16009803
"1,357,420"	14.1210964	0.0032	14.1681	14.16484911	13.67158901	14.16176552
"1,522,772"	14.23604292	-0.0844	14.081	14.16541887	13.67195049	14.1552051
"1,319,334"	14.09263762	-0.1055	14.0614	14.1668672	13.67231186	14.1404876
"1,279,352"	14.06186426	-0.0122	14.1522	14.16438899	13.67267311	14.14859267
"1,093,144"	13.90456851	0.0264	14.1777	14.15125572	13.67303425	14.14245992
"1,104,762"	13.91514049	0.0539	14.1986	14.14466403	13.67339528	14.15865646
"1,496,548"	14.21867168	0.0549	14.2012	14.14623683	13.67375618	14.16564108
"1,840,243"	14.42540819	-0.0215	14.1251	14.14664073	13.67411697	14.15813961
"2,085,770"	14.55064865	0.0379	14.1944	14.15648605	13.67447765	14.15962872
"1,701,802"	14.34719825	-0.056	14.1103	14.16627272	13.67483821	14.15442509
"1,179,629"	13.98071054	-0.0646	14.0997	14.16427122	13.67519866	14.1394904
"1,092,322"	13.90381626	0.0266	14.1881	14.16152376	13.67555899	14.16191037
"1,349,403"	14.11517283	0.0029	14.1621	14.1592301	13.67591921	14.15791497
"1,546,740"	14.25166005	-0.0581	14.0966	14.15470118	13.67627931	14.15865189
"1,645,094"	14.31330808	0.1319	14.2821	14.15016678	13.67663929	14.17224551
"1,297,661"	14.07607397	0.0145	14.1664	14.15188969	13.67699916	14.16677557
"1,027,175"	13.84232287	-0.0459	14.1155	14.16131939	13.67735891	14.15329764
"1,100,689"	13.91144691	0.0282	14.1949	14.1666701	13.67771855	14.15990804
"1,421,634"	14.16731747	-0.0168	14.1498	14.16661757	13.67807808	14.14863057
"1,737,692"	14.36806835	-0.1025	14.0678	14.17027944	13.67843748	14.15816727
"1,981,100"	14.4991628	-0.03	14.1429	14.17287123	13.67879678	14.16782579
"1,867,356"	14.44003408	0.0281	14.2031	14.17504761	13.67915595	14.16369251
"1,348,074"	14.11418747	0.0526	14.2332	14.18060129	13.67951502	14.16810644
"1,086,809"	13.89875644	0.0013	14.1831	14.18173276	13.67987396	14.19559163
"1,354,539"	14.11897173	-0.0167	14.1659	14.18260477	13.68023279	14.20953942
"1,682,424"	14.33574617	-0.0057	14.1807	14.18642027	13.68059151	14.20546719
"1,609,485"	14.29142481	0.0732	14.2602	14.1869661	13.68095011	14.1954189
"1,397,493"	14.15019048	0.0628	14.2405	14.17775978	13.6813086	14.19823532
"1,089,789"	13.90149466	0.0112	14.1746	14.16343496	13.68166697	14.1897329
"1,066,007"	13.87943045	0.0061	14.1629	14.15674415	13.68202522	14.18068417
"1,498,930"	14.22026208	0.0412	14.2028	14.16156486	13.68238336	14.14461518
"1,806,128"	14.40669589	-0.0616	14.1064	14.16805002	13.68274138	14.12236787
"1,931,167"	14.47363504	-0.0495	14.1174	14.166895	13.68309929	14.12182928
"1,535,874"	14.24461016	-0.1541	14.0077	14.16180385	13.68345708	14.14054192
"1,162,189"	13.96581585	-0.0739	14.0848	14.15872591	13.68381476	14.14135504
"1,073,622"	13.88654854	0.0124	14.1709	14.15846628	13.68417233	14.15539925
"1,539,359"	14.24687665	0.1383	14.2938	14.15550006	13.68452977	14.16346126
"1,729,746"	14.36348513	0.0532	14.2085	14.15526545	13.6848871	14.18628638
"1,522,654"	14.23596542	0.0496	14.2047	14.1551313	13.68524432	14.19756424
"1,307,284"	14.08346226	0.0226	14.1738	14.15119774	13.68560142	14.19182452
"1,082,033"	13.89435224	0.0173	14.1675	14.15021743	13.68595841	14.17454574
"1,066,979"	13.88034185	0.0148	14.1638	14.14895749	13.68631528	14.15157855
"1,394,660"	14.14816122	-0.0144	14.1307	14.14510987	13.68667203	14.11990161
"1,930,262"	14.4731663	0.0231	14.1729	14.14981237	13.68702867	14.10735655
"1,801,166"	14.40394479	-0.1153	14.0477	14.16302657	13.6873852	14.10334888
"1,498,380"	14.21989508	-0.1923	13.983	14.17532763	13.68774161	14.1132289
"1,163,570"	13.96700342	-0.0959	14.086	14.18192252	13.6880979	14.14916744
"1,040,407"	13.85512254	-0.0435	14.1394	14.18288892	13.68845408	14.17419637
"1,448,385"	14.1859597	0.0422	14.2329	14.19076487	13.68881014	14.2139087
"2,058,035"	14.5372622	0.181	14.3822	14.20128628	13.68916609	14.24118104
"1,757,370"	14.37932893	0.1346	14.3481	14.21348184	13.68952192	14.25468612
"1,521,678"	14.23532423	0.0941	14.3257	14.23155481	13.68987764	14.2780422
"1,088,997"	13.90076765	-0.0712	14.1739	14.24510088	13.69023324	14.28093289
"1,085,032"	13.89712004	-0.0696	14.1805	14.25011993	13.69058873	14.26348671
"1,656,812"	14.32040583	0.0499	14.3029	14.25298176	13.6909441	14.24294743
"2,091,591"	14.55343558	0.0005	14.2532	14.25260923	13.69129935	14.22353331
"2,227,452"	14.61636889	0.0096	14.2601	14.250474	13.6916545	14.22099181
"1,869,576"	14.44122223	-0.0395	14.2043	14.24383551	13.69200952	14.23590429
"1,290,812"	14.07078204	-0.0491	14.1898	14.23889885	13.69236443	14.23852984
"1,057,905"	13.8718011	-0.0868	14.1561	14.24288801	13.69271922	14.25347757
"1,525,702"	14.23796519	0.0396	14.2849	14.24531935	13.6930739	14.23869723
"1,936,351"	14.47631583	0.0738	14.3213	14.24749926	13.69342847	14.2415721
"1,774,501"	14.38902981	0.1081	14.3578	14.24967609	13.69378292	14.24670809
"1,285,039"	14.06629963	-0.0911	14.1567	14.24780763	13.69413725	14.26956111
"1,145,455"	13.9513125	-0.0161	14.2244	14.24056047	13.69449147	14.27061682
"1,135,195"	13.942315	-0.0106	14.2257	14.23634244	13.69484557	14.26374632
"1,678,755"	14.33356301	0.0823	14.3161	14.2337519	13.69519956	14.23354598
"2,175,124"	14.59259623	0.0682	14.2923	14.22412065	13.69555343	14.22170606
"2,256,786"	14.62945224	0.0636	14.2732	14.20959197	13.69590718	14.21405423
"1,764,355"	14.38329574	-0.0541	14.1464	14.2005321	13.69626082	14.21151808
"1,149,430"	13.95477673	-0.1221	14.0738	14.19590591	13.69661435	14.1902348
"1,073,649"	13.88657368	-0.0236	14.1709	14.1944849	13.69696776	14.17180477
"1,412,709"	14.1610197	0.0125	14.208	14.19552297	13.69732106	14.15187633
"1,659,640"	14.32211127	-0.0252	14.1671	14.19229832	13.69767423	14.15044424
